wk,vs,team1,spread,avgdiff1,team2,avgdiff2,cover1
16,PHA-PHX,PHA,12,3.4,PHX,-6.8,1
2,GB-NO,GB,-4.5,-2,NO,28,0
3,GB-LAN,GB,-10,-0.5,LAN,12,0
4,GB-ATL,GB,7,-1.3333333333333333,ATL,-2.6666666666666665,0
5,GB-DAL,GB,7,-0.5,DAL,-18.5,1
6,GB-MIN,GB,-6.5,3.2,MIN,1.6,1
7,GB-MIA,GB,-3,0.6666666666666666,MIA,-3,1
8,GB-DET,GB,6.5,0.14285714285714285,DET,-10.285714285714286,0
9,GB-CHI,GB,-3,0.5,CHI,5.75,0
10,GB-DET,GB,1.5,0.5555555555555556,DET,-8.777777777777779,0
11,GB-SF,GB,-10,-0.4,SF,13,0
12,GB-MIN,GB,-3,0,MIN,3.4545454545454546,0
13,GB-TB,GB,2.5,0.08333333333333333,TB,-5,0
14,GB-KC,GB,3,0.15384615384615385,KC,1.3846153846153846,0
15,GB-CHI,GB,-1.5,-1.1428571428571428,CHI,1.3571428571428572,0
16,GB-DAL,GB,7,-0.26666666666666666,DAL,-11.933333333333334,1
2,WAS-PHA,WAS,3,-3,PHA,24,0
3,WAS-DAL,WAS,4.5,-4,DAL,-17,1
4,WAS-NO,WAS,1.5,5,NO,5.666666666666667,1
5,WAS-PHX,WAS,9.5,4.25,PHX,-6.5,0
6,WAS-NYG,WAS,-3,3.8,NYG,11.2,1
7,WAS-TB,WAS,8,2.6666666666666665,TB,0,0
8,WAS-LAA,WAS,2,2.857142857142857,LAA,2.4285714285714284,0
9,WAS-DAL,WAS,14,0.875,DAL,-15.75,0
10,WAS-PHA,WAS,-5,-0.3333333333333333,PHA,2.5555555555555554,0
11,WAS-DEN,WAS,2.5,0.4,DEN,8.1,0
12,WAS-CHI,WAS,-0,0,CHI,5.818181818181818,0
13,WAS-PHX,WAS,4,2,PHX,-3.6666666666666665,1
14,WAS-SD,WAS,9.5,3.3076923076923075,SD,-2.230769230769231,0
15,WAS-ATL,WAS,6.5,3.4285714285714284,ATL,-10.714285714285714,0
16,WAS-SEA,WAS,-2,3.2666666666666666,SEA,-3.8,0
2,ATL-DAL,ATL,1.5,-10,DAL,-28,1
3,ATL-IND,ATL,-7.5,-2,IND,-10,0
4,ATL-GB,ATL,-7,-2.6666666666666665,GB,-1.3333333333333333,0
5,ATL-LAN,ATL,-10.5,-2.5,LAN,7,1
6,ATL-NE,ATL,2.5,-4.4,NE,-8.6,0
7,ATL-PHX,ATL,-2,-3.5,PHX,-6.666666666666667,1
8,ATL-NO,ATL,-7,-5,NO,6.428571428571429,1
9,ATL-BUF,ATL,-3,-5.25,BUF,5.125,0
10,ATL-SF,ATL,-10.5,-4.444444444444445,SF,9.777777777777779,1
11,ATL-NO,ATL,-3,-8.2,NO,3.8,1
12,ATL-NYJ,ATL,-2,-8.272727272727273,NYJ,-9.727272727272727,1
13,ATL-SF,ATL,-9.5,-9.25,SF,11.333333333333334,1
14,ATL-MIN,ATL,-12,-9.538461538461538,MIN,3.6923076923076925,1
15,ATL-WAS,ATL,-6.5,-10.714285714285714,WAS,3.4285714285714284,0
16,ATL-DET,ATL,-3,-10.066666666666666,DET,-3.933333333333333,1
2,NYG-DET,NYG,11,3,DET,-3,0
3,NYG-PHX,NYG,7.5,6.5,PHX,6.5,1
4,NYG-DAL,NYG,7,13.666666666666666,DAL,-19,1
5,NYG-PHA,NYG,-3,14.5,PHA,1.25,0
6,NYG-WAS,NYG,3,11.2,WAS,3.8,1
7,NYG-SD,NYG,4,9.833333333333334,SD,-2.3333333333333335,1
8,NYG-MIN,NYG,2,9.428571428571429,MIN,4.714285714285714,1
9,NYG-PHX,NYG,3,9.5,PHX,-2.125,1
10,NYG-LAN,NYG,-2.5,9.222222222222221,LAN,0.6666666666666666,1
11,NYG-SEA,NYG,9,6.2,SEA,-3.2,1
12,NYG-SF,NYG,-5,6.7272727272727275,SF,11.454545454545455,1
13,NYG-PHA,NYG,3,5.333333333333333,PHA,3.6666666666666665,0
14,NYG-DEN,NYG,-3,4.384615384615385,DEN,8.384615384615385,0
15,NYG-DAL,NYG,12,4.571428571428571,DAL,-11.714285714285714,1
16,NYG-LAA,NYG,6.5,5.266666666666667,LAA,2.3333333333333335,1
2,HOU-SD,HOU,4,-31,SD,-26,1
3,HOU-BUF,HOU,3.5,-12,BUF,-5.5,0
4,HOU-MIA,HOU,7,-10,MIA,1.3333333333333333,1
5,HOU-NE,HOU,4,0.5,NE,-13.25,0
6,HOU-CHI,HOU,-7,-1.6,CHI,12.2,0
7,HOU-PIT,HOU,10,-0.5,PIT,-8.166666666666666,1
8,HOU-CLE,HOU,-2.5,3.4285714285714284,CLE,9.714285714285714,1
9,HOU-DET,HOU,10,1.625,DET,-9.375,0
10,HOU-CIN,HOU,6,1.8888888888888888,CIN,4.777777777777778,0
11,HOU-LAA,HOU,5,1.9,LAA,4.9,1
12,HOU-KC,HOU,1.5,3.1818181818181817,KC,-1.9090909090909092,0
13,HOU-PIT,HOU,3,0.08333333333333333,PIT,-7.833333333333333,1
14,HOU-TB,HOU,8,0.6153846153846154,TB,-4.6923076923076925,0
15,HOU-CIN,HOU,-3.5,0.7857142857142857,CIN,5.214285714285714,1
16,HOU-CLE,HOU,3.5,-2.8666666666666667,CLE,5.066666666666666,0
2,KC-LAA,KC,2,-14,LAA,26,1
3,KC-SD,KC,-2.5,-4.5,SD,-16.5,1
4,KC-CIN,KC,-5,-8,CIN,11.666666666666666,0
5,KC-SEA,KC,-7,-7,SEA,-2.25,0
6,KC-LAA,KC,-3,-4.8,LAA,2.8,1
7,KC-DAL,KC,9,-5,DAL,-18.166666666666668,0
8,KC-PIT,KC,-2,-3.142857142857143,PIT,-10.857142857142858,1
9,KC-SEA,KC,2.5,-3.5,SEA,-1.5,1
10,KC-DEN,KC,0,-2,DEN,8.666666666666666,0
11,KC-CLE,KC,-7,-2.1,CLE,10,0
12,KC-HOU,KC,-1.5,-1.9090909090909092,HOU,3.1818181818181817,0
13,KC-MIA,KC,3.5,1.0833333333333333,MIA,-2.6666666666666665,1
14,KC-GB,KC,-3,1.3846153846153846,GB,0.15384615384615385,0
15,KC-SD,KC,7.5,2.5714285714285716,SD,-2.4285714285714284,0
16,KC-MIA,KC,-3.5,1.9333333333333333,MIA,-3,0
2,NE-MIA,NE,6,3,MIA,-3,0
3,NE-SEA,NE,3.5,-5.5,SEA,-17,0
4,NE-BUF,NE,-7,-10.666666666666666,BUF,-1.6666666666666667,1
5,NE-HOU,NE,-4,-13.25,HOU,0.5,0
6,NE-ATL,NE,-2.5,-8.6,ATL,-4.4,0
7,NE-SF,NE,-11,-7.333333333333333,SF,6.666666666666667,1
8,NE-IND,NE,-6,-8.714285714285714,IND,2,0
9,NE-NYJ,NE,7.5,-7.25,NYJ,-10.375,0
10,NE-NO,NE,-2.5,-6.555555555555555,NO,3.7777777777777777,1
11,NE-BUF,NE,-6,-6.3,BUF,6.2,0
12,NE-LAA,NE,-6.5,-4.909090909090909,LAA,3,0
13,NE-IND,NE,1.5,-4.75,IND,0.25,1
14,NE-MIA,NE,-5,-3.923076923076923,MIA,-2.8461538461538463,1
15,NE-PIT,NE,-3,-5.142857142857143,PIT,-6.285714285714286,1
16,NE-LAN,NE,-7,-6,LAN,5.2,0
2,SEA-PHX,SEA,7,-24,PHX,3,0
3,SEA-NE,SEA,-3.5,-17,NE,-5.5,0
4,SEA-LAA,SEA,-1,-4.333333333333333,LAA,3.6666666666666665,0
5,SEA-KC,SEA,7,-2.25,KC,-7,0
6,SEA-SD,SEA,-0,-2.6,SD,-2.6,0
7,SEA-DEN,SEA,3,-2,DEN,8.666666666666666,0
8,SEA-SD,SEA,6,-2.142857142857143,SD,-3,0
9,SEA-KC,SEA,-2.5,-1.5,KC,-3.5,1
10,SEA-CLE,SEA,-2.5,-2.4444444444444446,CLE,10,1
11,SEA-NYG,SEA,-9,-3.2,NYG,6.2,1
12,SEA-DEN,SEA,-9.5,-4,DEN,7.7272727272727275,1
13,SEA-BUF,SEA,-5.5,-5.916666666666667,BUF,5.833333333333333,0
14,SEA-CIN,SEA,-10,-5.384615384615385,CIN,6.153846153846154,0
15,SEA-LAA,SEA,0,-4.5,LAA,2.9285714285714284,1
16,SEA-WAS,SEA,2,-3.8,WAS,3.2666666666666666,0
2,CIN-PIT,CIN,10,-3,PIT,-51,1
3,CIN-CLE,CIN,4,14,CLE,32.5,1
4,CIN-KC,CIN,5,11.666666666666666,KC,-8,0
5,CIN-PIT,CIN,4,9.75,PIT,-12.25,1
6,CIN-MIA,CIN,7.5,9.8,MIA,-5,0
7,CIN-IND,CIN,6.5,7,IND,0.5,0
8,CIN-TB,CIN,6.5,4.428571428571429,TB,-0.5714285714285714,1
9,CIN-LAA,CIN,1.5,8,LAA,3.75,0
10,CIN-HOU,CIN,-6,4.777777777777778,HOU,1.8888888888888888,0
11,CIN-DET,CIN,7,4.1,DET,-7,1
12,CIN-BUF,CIN,-3,6.909090909090909,BUF,4.818181818181818,1
13,CIN-CLE,CIN,-4,4.916666666666667,CLE,8.083333333333334,0
14,CIN-SEA,CIN,10,6.153846153846154,SEA,-5.384615384615385,0
15,CIN-HOU,CIN,3.5,5.214285714285714,HOU,0.7857142857142857,1
16,CIN-MIN,CIN,-6,8.466666666666667,MIN,4.533333333333333,1
2,IND-LAN,IND,-6,-6,LAN,10,1
3,IND-ATL,IND,7.5,-10,ATL,-2,0
4,IND-NYJ,IND,-3,-5.333333333333333,NYJ,-3.3333333333333335,0
5,IND-BUF,IND,-0,-2.25,BUF,4,0
6,IND-DEN,IND,-5,2.8,DEN,8.2,1
7,IND-CIN,IND,-6.5,0.5,CIN,7,0
8,IND-NE,IND,6,2,NE,-8.714285714285714,0
9,IND-MIA,IND,-3,1.375,MIA,-3.625,1
10,IND-BUF,IND,-6.5,0.5555555555555556,BUF,4.333333333333333,1
11,IND-NYJ,IND,6,-1.8,NYJ,-9,1
12,IND-SD,IND,4.5,-0.09090909090909091,SD,-2,0
13,IND-NE,IND,-1.5,0.25,NE,-4.75,1
14,IND-CLE,IND,-1,-0.23076923076923078,CLE,5.846153846153846,0
15,IND-MIA,IND,0,0.21428571428571427,MIA,-1.1428571428571428,1
16,IND-NO,IND,-2.5,2.1333333333333333,NO,3.3333333333333335,1
2,SD-HOU,SD,-4,-26,HOU,-31,1
3,SD-KC,SD,2.5,-16.5,KC,-4.5,1
4,SD-PHX,SD,-4,-6,PHX,-5,0
5,SD-DEN,SD,-7,-1.75,DEN,8.75,0
6,SD-SEA,SD,0,-2.6,SEA,-2.6,0
7,SD-NYG,SD,-4,-2.3333333333333335,NYG,9.833333333333334,1
8,SD-SEA,SD,-6,-3,SEA,-2.142857142857143,0
9,SD-PHA,SD,-4,-3,PHA,3.25,0
10,SD-LAA,SD,-2.5,-2.3333333333333335,LAA,5.666666666666667,0
11,SD-PIT,SD,-2.5,-1.9,PIT,-11.7,1
12,SD-IND,SD,-4.5,-2,IND,-0.09090909090909091,0
13,SD-NYJ,SD,4.5,-2.1666666666666665,NYJ,-7.25,0
14,SD-WAS,SD,-9.5,-2.230769230769231,WAS,3.3076923076923075,0
15,SD-KC,SD,-7.5,-2.4285714285714284,KC,2.5714285714285716,0
16,SD-DEN,SD,-2.5,-1.8,DEN,9.266666666666667,0
2,MIA-NE,MIA,-6,-3,NE,3,0
3,MIA-NYJ,MIA,4,5.5,NYJ,-8.5,0
4,MIA-HOU,MIA,-7,1.3333333333333333,HOU,-10,1
5,MIA-CLE,MIA,-3.5,-7,CLE,15.25,0
6,MIA-CIN,MIA,-7.5,-5,CIN,9.8,0
7,MIA-GB,MIA,3,-3,GB,0.6666666666666666,1
8,MIA-BUF,MIA,-4,-2.142857142857143,BUF,3.857142857142857,1
9,MIA-IND,MIA,3,-3.625,IND,1.375,1
10,MIA-NYJ,MIA,3,-2.5555555555555554,NYJ,-9.11111111111111,1
11,MIA-DAL,MIA,6.5,-1.5,DAL,-12,0
12,MIA-PIT,MIA,7.5,-1.0909090909090908,PIT,-10.363636363636363,0
13,MIA-KC,MIA,-3.5,-2.6666666666666665,KC,1.0833333333333333,1
14,MIA-NE,MIA,5,-2.8461538461538463,NE,-3.923076923076923,1
15,MIA-IND,MIA,-0,-1.1428571428571428,IND,0.21428571428571427,1
16,MIA-KC,MIA,3.5,-3,KC,1.9333333333333333,0
2,DET-NYG,DET,-11,-3,NYG,3,0
3,DET-CHI,DET,-7,-6.5,CHI,17,1
4,DET-PIT,DET,2.5,-11,PIT,-23,0
5,DET-MIN,DET,-12,-13.25,MIN,0.25,0
6,DET-TB,DET,-6,-12,TB,0.2,0
7,DET-MIN,DET,-7.5,-9.833333333333334,MIN,3.3333333333333335,1
8,DET-GB,DET,-6.5,-10.285714285714286,GB,0.14285714285714285,0
9,DET-HOU,DET,-10,-9.375,HOU,1.625,0
10,DET-GB,DET,-1.5,-8.777777777777779,GB,0.5555555555555556,0
11,DET-CIN,DET,-7,-7,CIN,4.1,1
12,DET-CLE,DET,-6,-9.545454545454545,CLE,9.090909090909092,0
13,DET-NO,DET,-4,-8.5,NO,3.6666666666666665,0
14,DET-CHI,DET,-6.5,-7.3076923076923075,CHI,2.230769230769231,0
15,DET-TB,DET,2.5,-6.071428571428571,TB,-4.571428571428571,1
16,DET-ATL,DET,3,-3.933333333333333,ATL,-10.066666666666666,1
2,TB-SF,TB,-7.5,2,SF,6,0
3,TB-NO,TB,-2.5,-1,NO,13.5,0
4,TB-MIN,TB,-8,2.6666666666666665,MIN,-4.333333333333333,1
5,TB-CHI,TB,-4.5,-1.5,CHI,17,0
6,TB-DET,TB,6,0.2,DET,-12,0
7,TB-WAS,TB,-8,0,WAS,2.6666666666666665,0
8,TB-CIN,TB,-6.5,-0.5714285714285714,CIN,4.428571428571429,1
9,TB-CLE,TB,-3,-4.625,CLE,9.875,1
10,TB-MIN,TB,-5.5,-5.333333333333333,MIN,2.7777777777777777,1
11,TB-CHI,TB,-10,-6.2,CHI,6.5,0
12,TB-PHX,TB,-1.5,-5.545454545454546,PHX,-3.909090909090909,0
13,TB-GB,TB,-2.5,-5,GB,0.08333333333333333,0
14,TB-HOU,TB,-8,-4.6923076923076925,HOU,0.6153846153846154,0
15,TB-DET,TB,-2.5,-4.571428571428571,DET,-6.071428571428571,1
16,TB-PIT,TB,-2,-6,PIT,-4.666666666666667,1
2,PIT-CIN,PIT,-10,-51,CIN,-3,1
3,PIT-MIN,PIT,-8.5,-41,MIN,0,0
4,PIT-DET,PIT,-2.5,-23,DET,-11,0
5,PIT-CIN,PIT,-4,-12.25,CIN,9.75,1
6,PIT-CLE,PIT,-9,-11.8,CLE,11.6,0
7,PIT-HOU,PIT,-10,-8.166666666666666,HOU,-0.5,1
8,PIT-KC,PIT,2,-10.857142857142858,KC,-3.142857142857143,1
9,PIT-DEN,PIT,-7.5,-8.75,DEN,6.375,1
10,PIT-CHI,PIT,-3.5,-10.777777777777779,CHI,5,1
11,PIT-SD,PIT,2.5,-11.7,SD,-1.9,1
12,PIT-MIA,PIT,-7.5,-10.363636363636363,MIA,-1.0909090909090908,0
13,PIT-HOU,PIT,-3,-7.833333333333333,HOU,0.08333333333333333,1
14,PIT-NYJ,PIT,-1.5,-7.769230769230769,NYJ,-6.461538461538462,0
15,PIT-NE,PIT,3,-6.285714285714286,NE,-5.142857142857143,1
16,PIT-TB,PIT,2,-4.666666666666667,TB,-6,1
2,DAL-ATL,DAL,-1.5,-28,ATL,-10,1
