"Collaborators","Count","Abstract"
"Baylor College of Medicine",18,"pancreatic cancer is the fourth leading cause of cancer death. soluble receptorfor glycation end products (srage), which is modulated by anti-hypertensive (ht)medications, has been inversely associated with pancreatic cancer. however, theassociation between commonly used anti-ht medications and risk of pancreaticcancer is unknown. a total of 145,551 postmenopausal women from the women healthinitiative (whi) study were included in analysis. use of angiotensin convertingenzyme inhibitors (acei), î²-blockers, calcium channel blockers (ccbs) anddiuretics was ascertained at baseline (1993â»1998). baseline srage levels weremeasured among a subset of 2104 participants using an immunoassay. multivariablecox proportional hazard regression model was performed to estimate hazard ratios(hrs) and its 95% confidence intervals (cis) for pancreatic cancer in associationwith anti-ht medications. increased risk of pancreatic cancer was found amongusers of short-acting ccb (hr = 1.66, 95% ci: 1.20â»2.28) and long-term (â‰¥3 years)users of short-acting ccb (hr = 2.07, 95% ci: 1.42â»3.02) compared to users ofother anti-ht medications. average srage levels were lower in short-acting ccbusers than users of other anti-ht medications (1173 versus 1454 pg/ml, p =0.038). non-statistically significant reduced risk of pancreatic cancer was foundamong users of î²-blockers (hr = 0.80, 95% ci: 0.60â»1.07). average srage levelswere higher in î²-blockers users than users of other anti-ht medications (1692versus 1454 pg/ml, p > 0.05). future studies are warranted to confirm thesefindings and elucidate potential mechanisms by which anti-ht medicationsinfluence development of pancreatic cancer."
"Baylor College of Medicine",18,"pancreatic cancer is the fourth leading cause of cancer death. soluble receptorfor glycation end products (srage), which is modulated by anti-hypertensive (ht)medications, has been inversely associated with pancreatic cancer. however, theassociation between commonly used anti-ht medications and risk of pancreaticcancer is unknown. a total of 145,551 postmenopausal women from the women healthinitiative (whi) study were included in analysis. use of angiotensin convertingenzyme inhibitors (acei), î²-blockers, calcium channel blockers (ccbs) anddiuretics was ascertained at baseline (1993â»1998). baseline srage levels weremeasured among a subset of 2104 participants using an immunoassay. multivariablecox proportional hazard regression model was performed to estimate hazard ratios(hrs) and its 95% confidence intervals (cis) for pancreatic cancer in associationwith anti-ht medications. increased risk of pancreatic cancer was found amongusers of short-acting ccb (hr = 1.66, 95% ci: 1.20â»2.28) and long-term (â‰¥3 years)users of short-acting ccb (hr = 2.07, 95% ci: 1.42â»3.02) compared to users ofother anti-ht medications. average srage levels were lower in short-acting ccbusers than users of other anti-ht medications (1173 versus 1454 pg/ml, p =0.038). non-statistically significant reduced risk of pancreatic cancer was foundamong users of î²-blockers (hr = 0.80, 95% ci: 0.60â»1.07). average srage levelswere higher in î²-blockers users than users of other anti-ht medications (1692versus 1454 pg/ml, p > 0.05). future studies are warranted to confirm thesefindings and elucidate potential mechanisms by which anti-ht medicationsinfluence development of pancreatic cancer."
"Baylor College of Medicine",18,"pancreatic cancer is the fourth leading cause of cancer death. soluble receptorfor glycation end products (srage), which is modulated by anti-hypertensive (ht)medications, has been inversely associated with pancreatic cancer. however, theassociation between commonly used anti-ht medications and risk of pancreaticcancer is unknown. a total of 145,551 postmenopausal women from the women healthinitiative (whi) study were included in analysis. use of angiotensin convertingenzyme inhibitors (acei), î²-blockers, calcium channel blockers (ccbs) anddiuretics was ascertained at baseline (1993â»1998). baseline srage levels weremeasured among a subset of 2104 participants using an immunoassay. multivariablecox proportional hazard regression model was performed to estimate hazard ratios(hrs) and its 95% confidence intervals (cis) for pancreatic cancer in associationwith anti-ht medications. increased risk of pancreatic cancer was found amongusers of short-acting ccb (hr = 1.66, 95% ci: 1.20â»2.28) and long-term (â‰¥3 years)users of short-acting ccb (hr = 2.07, 95% ci: 1.42â»3.02) compared to users ofother anti-ht medications. average srage levels were lower in short-acting ccbusers than users of other anti-ht medications (1173 versus 1454 pg/ml, p =0.038). non-statistically significant reduced risk of pancreatic cancer was foundamong users of î²-blockers (hr = 0.80, 95% ci: 0.60â»1.07). average srage levelswere higher in î²-blockers users than users of other anti-ht medications (1692versus 1454 pg/ml, p > 0.05). future studies are warranted to confirm thesefindings and elucidate potential mechanisms by which anti-ht medicationsinfluence development of pancreatic cancer."
"Baylor College of Medicine",18,"factors influencing melanoma survival include sex, age, clinical stage, lymphnode involvement, as well as breslow thickness, presence of tumor-infiltratinglymphocytes based on histological analysis of primary melanoma, mitotic rate, andulceration. identification of genes whose expression in primary tumors isassociated with these key tumor/patient characteristics can shed light onmolecular mechanisms of melanoma survival. here, we show results from a geneexpression analysis of formalin-fixed paraffin-embedded primary melanomas withextensive clinical annotation. the cancer genome atlas data on primary melanomaswere used for validation of nominally significant associations. we identifiedfive genes that were significantly associated with the presence oftumor-infiltrating lymphocytes in the joint analysis after adjustment formultiple testing: il1r2, ppl, pla2g3, rasal1, and sgk2. we also identified twogenes significantly associated with melanoma metastasis to the regional lymphnodes (pik3cg and il2ra), and two genes significantly associated with sex (kdm5cand kdm6a). we found that lef1 was significantly associated with breslowthickness and ccna2 and ube2t with mitosis. rad50 was the gene most significantlyassociated with survival, with a higher level of expression associated with worsesurvival."
"Baylor College of Medicine",18,"we studied 137 primary testicular germ cell tumors (tgcts) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. thesetumors exhibited high aneuploidy and a paucity of somatic mutations. somaticmutation ofâ only three genes achieved significance-kit, kras, andnras-exclusively in samples with seminoma components. integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of tgct: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. striking differences in global dna methylation and microrna expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in tgcts. we also identified a subset of pureseminomas defined by kit mutations, increased immune infiltration, globallydemethylated dna, and decreased kras copy number. we report potential biomarkersfor risk stratification, such as mirna specifically expressed in teratoma, andothers with molecular diagnostic potential, such as cph (cpa/cpc/cpt) methylationidentifying embryonal carcinomas."
"Baylor College of Medicine",18,"we studied 137 primary testicular germ cell tumors (tgcts) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. thesetumors exhibited high aneuploidy and a paucity of somatic mutations. somaticmutation ofâ only three genes achieved significance-kit, kras, andnras-exclusively in samples with seminoma components. integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of tgct: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. striking differences in global dna methylation and microrna expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in tgcts. we also identified a subset of pureseminomas defined by kit mutations, increased immune infiltration, globallydemethylated dna, and decreased kras copy number. we report potential biomarkersfor risk stratification, such as mirna specifically expressed in teratoma, andothers with molecular diagnostic potential, such as cph (cpa/cpc/cpt) methylationidentifying embryonal carcinomas."
"Baylor College of Medicine",18,"we studied 137 primary testicular germ cell tumors (tgcts) using high-dimensionalassays of genomic, epigenomic, transcriptomic, and proteomic features. thesetumors exhibited high aneuploidy and a paucity of somatic mutations. somaticmutation ofâ only three genes achieved significance-kit, kras, andnras-exclusively in samples with seminoma components. integrated analysesidentified distinct molecular patterns that characterized the major recognizedhistologic subtypes of tgct: seminoma, embryonal carcinoma, yolk sac tumor, andteratoma. striking differences in global dna methylation and microrna expressionbetween histology subtypes highlight a likely role of epigenomic processes indetermining histologic fates in tgcts. we also identified a subset of pureseminomas defined by kit mutations, increased immune infiltration, globallydemethylated dna, and decreased kras copy number. we report potential biomarkersfor risk stratification, such as mirna specifically expressed in teratoma, andothers with molecular diagnostic potential, such as cph (cpa/cpc/cpt) methylationidentifying embryonal carcinomas."
"Baylor College of Medicine",18,"cooperativity between wnt and fgf signaling is well documented in embryonicdevelopment and cancer progression, but the molecular mechanisms underlying thiscross-talk remain elusive. in this study, we interrogated the dynamics of rnalevels, ribosome occupancy, and protein expression as a function of inducible fgfsignaling in mouse mammary glands with constitutive wnt hyperactivation.multiomics correlation analysis revealed a substantial discrepancy between rnaand ribosome occupancy levels versus protein levels. however, this discrepancydecreased as cells became premalignant and dynamically responded to fgfsignaling, implicating the importance of stringent gene regulation innontransformed cells. analysis of individual genes demonstrated that acute fgfhyperactivation increased translation of many stem cell self-renewal regulators,including wnt signaling components, and decreased translation of genes regulatingcellular senescence. wnt pathway components translationally upregulated by fgfsignaling had long and structured 5' utrs with a high frequency of polypurinesequences, several of which harbored (cgg)4 motifs that can fold into eitherstable g-quadruplexes or other stable secondary structures. the fgf-mediatedincrease in translation of wnt pathway components was compromised by silvestrol,an inhibitor of eif4a that clamps eif4a to polypurine sequences to block 43sscanning and inhibits its rna-unwinding activity important for translationinitiation. moreover, silvestrol treatment significantly delayed fgf-wnt-driventumorigenesis. taken together, these results suggest that fgf signalingselectively enhances translation of structured mrnas, particularly wnt signalingcomponents, and highlight their vulnerability to inhibitors that target the rnahelicase eif4a.significance: the rna helicase eif4a may serve as a therapeutictarget for breast cancers that require fgf and wnt signaling. cancer res; 78(15);4229-40. â©2018 aacr."
"Baylor College of Medicine",18,"cooperativity between wnt and fgf signaling is well documented in embryonicdevelopment and cancer progression, but the molecular mechanisms underlying thiscross-talk remain elusive. in this study, we interrogated the dynamics of rnalevels, ribosome occupancy, and protein expression as a function of inducible fgfsignaling in mouse mammary glands with constitutive wnt hyperactivation.multiomics correlation analysis revealed a substantial discrepancy between rnaand ribosome occupancy levels versus protein levels. however, this discrepancydecreased as cells became premalignant and dynamically responded to fgfsignaling, implicating the importance of stringent gene regulation innontransformed cells. analysis of individual genes demonstrated that acute fgfhyperactivation increased translation of many stem cell self-renewal regulators,including wnt signaling components, and decreased translation of genes regulatingcellular senescence. wnt pathway components translationally upregulated by fgfsignaling had long and structured 5' utrs with a high frequency of polypurinesequences, several of which harbored (cgg)4 motifs that can fold into eitherstable g-quadruplexes or other stable secondary structures. the fgf-mediatedincrease in translation of wnt pathway components was compromised by silvestrol,an inhibitor of eif4a that clamps eif4a to polypurine sequences to block 43sscanning and inhibits its rna-unwinding activity important for translationinitiation. moreover, silvestrol treatment significantly delayed fgf-wnt-driventumorigenesis. taken together, these results suggest that fgf signalingselectively enhances translation of structured mrnas, particularly wnt signalingcomponents, and highlight their vulnerability to inhibitors that target the rnahelicase eif4a.significance: the rna helicase eif4a may serve as a therapeutictarget for breast cancers that require fgf and wnt signaling. cancer res; 78(15);4229-40. â©2018 aacr."
"Baylor College of Medicine",18,"cooperativity between wnt and fgf signaling is well documented in embryonicdevelopment and cancer progression, but the molecular mechanisms underlying thiscross-talk remain elusive. in this study, we interrogated the dynamics of rnalevels, ribosome occupancy, and protein expression as a function of inducible fgfsignaling in mouse mammary glands with constitutive wnt hyperactivation.multiomics correlation analysis revealed a substantial discrepancy between rnaand ribosome occupancy levels versus protein levels. however, this discrepancydecreased as cells became premalignant and dynamically responded to fgfsignaling, implicating the importance of stringent gene regulation innontransformed cells. analysis of individual genes demonstrated that acute fgfhyperactivation increased translation of many stem cell self-renewal regulators,including wnt signaling components, and decreased translation of genes regulatingcellular senescence. wnt pathway components translationally upregulated by fgfsignaling had long and structured 5' utrs with a high frequency of polypurinesequences, several of which harbored (cgg)4 motifs that can fold into eitherstable g-quadruplexes or other stable secondary structures. the fgf-mediatedincrease in translation of wnt pathway components was compromised by silvestrol,an inhibitor of eif4a that clamps eif4a to polypurine sequences to block 43sscanning and inhibits its rna-unwinding activity important for translationinitiation. moreover, silvestrol treatment significantly delayed fgf-wnt-driventumorigenesis. taken together, these results suggest that fgf signalingselectively enhances translation of structured mrnas, particularly wnt signalingcomponents, and highlight their vulnerability to inhibitors that target the rnahelicase eif4a.significance: the rna helicase eif4a may serve as a therapeutictarget for breast cancers that require fgf and wnt signaling. cancer res; 78(15);4229-40. â©2018 aacr."
"Baylor College of Medicine",18,"cooperativity between wnt and fgf signaling is well documented in embryonicdevelopment and cancer progression, but the molecular mechanisms underlying thiscross-talk remain elusive. in this study, we interrogated the dynamics of rnalevels, ribosome occupancy, and protein expression as a function of inducible fgfsignaling in mouse mammary glands with constitutive wnt hyperactivation.multiomics correlation analysis revealed a substantial discrepancy between rnaand ribosome occupancy levels versus protein levels. however, this discrepancydecreased as cells became premalignant and dynamically responded to fgfsignaling, implicating the importance of stringent gene regulation innontransformed cells. analysis of individual genes demonstrated that acute fgfhyperactivation increased translation of many stem cell self-renewal regulators,including wnt signaling components, and decreased translation of genes regulatingcellular senescence. wnt pathway components translationally upregulated by fgfsignaling had long and structured 5' utrs with a high frequency of polypurinesequences, several of which harbored (cgg)4 motifs that can fold into eitherstable g-quadruplexes or other stable secondary structures. the fgf-mediatedincrease in translation of wnt pathway components was compromised by silvestrol,an inhibitor of eif4a that clamps eif4a to polypurine sequences to block 43sscanning and inhibits its rna-unwinding activity important for translationinitiation. moreover, silvestrol treatment significantly delayed fgf-wnt-driventumorigenesis. taken together, these results suggest that fgf signalingselectively enhances translation of structured mrnas, particularly wnt signalingcomponents, and highlight their vulnerability to inhibitors that target the rnahelicase eif4a.significance: the rna helicase eif4a may serve as a therapeutictarget for breast cancers that require fgf and wnt signaling. cancer res; 78(15);4229-40. â©2018 aacr."
"Baylor College of Medicine",18,"cooperativity between wnt and fgf signaling is well documented in embryonicdevelopment and cancer progression, but the molecular mechanisms underlying thiscross-talk remain elusive. in this study, we interrogated the dynamics of rnalevels, ribosome occupancy, and protein expression as a function of inducible fgfsignaling in mouse mammary glands with constitutive wnt hyperactivation.multiomics correlation analysis revealed a substantial discrepancy between rnaand ribosome occupancy levels versus protein levels. however, this discrepancydecreased as cells became premalignant and dynamically responded to fgfsignaling, implicating the importance of stringent gene regulation innontransformed cells. analysis of individual genes demonstrated that acute fgfhyperactivation increased translation of many stem cell self-renewal regulators,including wnt signaling components, and decreased translation of genes regulatingcellular senescence. wnt pathway components translationally upregulated by fgfsignaling had long and structured 5' utrs with a high frequency of polypurinesequences, several of which harbored (cgg)4 motifs that can fold into eitherstable g-quadruplexes or other stable secondary structures. the fgf-mediatedincrease in translation of wnt pathway components was compromised by silvestrol,an inhibitor of eif4a that clamps eif4a to polypurine sequences to block 43sscanning and inhibits its rna-unwinding activity important for translationinitiation. moreover, silvestrol treatment significantly delayed fgf-wnt-driventumorigenesis. taken together, these results suggest that fgf signalingselectively enhances translation of structured mrnas, particularly wnt signalingcomponents, and highlight their vulnerability to inhibitors that target the rnahelicase eif4a.significance: the rna helicase eif4a may serve as a therapeutictarget for breast cancers that require fgf and wnt signaling. cancer res; 78(15);4229-40. â©2018 aacr."
"Baylor College of Medicine",18,"the clingen pten expert panel was organized by the clingen hereditary cancerclinical domain working group to assemble clinicians, researchers, and moleculardiagnosticians with pten expertise to develop specifications to the 2015 acmg/ampsequence variant interpretation guidelines for pten variant interpretation. wedescribe finalized pten-specific variant classification criteria and outcomesfrom pilot testing of 42 variants with benign/likely benign (ben/lben),pathogenic/likely pathogenic (path/lpath), uncertain significance (vus), andconflicting (conf) clinvar assertions. utilizing these rules, classificationsconcordant with clinvar assertions were achieved for 14/15 (93.3%) ben/lben and16/16 (100%) path/lpath clinvar consensus variants for an overall concordance of96.8% (30/31). the variant where agreement was not reached was a synonymousvariant near a splice donor with noncanonical sequence for which in silico modelscannot predict the native site. applying these rules to six vus and five confvariants, adding shared internal laboratory data enabled one vus to be classifiedas lben and two conf variants to be as classified as path and lpath. this studyhighlights the benefit of gene-specific criteria and the value of sharinginternal laboratory data for variant interpretation. our pten-specific criteriaand expertly reviewed assertions should prove helpful for laboratories and otherscurating pten variants."
"Baylor College of Medicine",18,"context: management of bladder cancer (bc) is primarily driven by stage, grade,and biological potential. knowledge of each is derived using clinical,histopathological, and radiological investigations. this multimodal approachreduces the risk of error from one particular test, but may present a stagingdilemma when results conflict. multiparametric magnetic resonance imaging (mpmri)may improve patient care through imaging of the bladder with better resolution ofthe tissue planes than computed tomography and without radiation exposure.objective: to define a standardized approach to imaging and reporting mpmri forbc, by developing a vi-rads score.evidence acquisition: we created vi-rads (vesical imaging-reporting and datasystem) through consensus using existing literature.evidence synthesis: we describe standard imaging protocols and reporting criteria(including size, location, multiplicity, and morphology) for bladder mpmri. wepropose a five-point vi-rads score, derived using t2-weighted mri,diffusion-weighted imaging, and dynamic contrast enhancement, which suggests therisks of muscle invasion. we include sample images used to understand vi-rads.conclusions: we hope that vi-rads will standardize reporting, facilitatecomparisons between patients, and in future years, will be tested and refined ifnecessary. while we do not advocate mpmri for all patients with bc, this imagingmay compliment pathology or reduce radiation-based imaging. bladder mpmri may bemost useful in patients with non-muscle-invasive cancers, in expediting radicaltreatment or for determining response to bladder-sparing approaches.patient summary: magnetic resonance imaging (mri) scans for bladder cancer arebecoming more common and may provide accurate information that helps improvepatient care. here, we describe a standardized reporting criterion for bladdermri. this should improve communication between doctors and allow bettercomparisons between patients."
"Baylor College of Medicine",18,"the variant curation guidelines published in 2015 by the american college ofmedical genetics and genomics and the association for molecular pathology(acmg/amp) provided the genetics community with a framework to assess variantpathogenicity; however, these rules are not gene specific. germline pathogenicvariants in the cdh1 gene cause hereditary diffuse gastric cancer and lobularbreast cancer, a clinically challenging cancer predisposition syndrome that oftenrequires a multidisciplinary team of experts to be properly managed. given thischallenge, the clinical genome resource (clingen) hereditary cancer domainprioritized the development of the cdh1 variant curation expert panel (vcep) todevelop and implement rules for cdh1 variant classifications. here, we describethe cdh1 specifications of the acmg/amp guidelines, which were developed andvalidated after a systematic evaluation of variants obtained from a cohort ofclinical laboratory data encompassing âˆ¼827,000 cdh1 sequenced alleles. comparingpreviously reported germline variants that were classified using the 2015acmg/amp guidelines to the cdh1 vcep recommendations resulted in reduced variantsof uncertain significance and facilitated resolution of variants with conflictedassertions in clinvar. the clingen cdh1 vcep recommends the use of thesecdh1-specific guidelines for the assessment and classification of variantsidentified in this clinically actionable gene."
